DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-25 05:45:00,2021-11-25,05:45:00,3,3,0,0.123
2021-11-25 06:00:00,2021-11-25,06:00:00,3,3,0,0.121
2021-11-25 06:15:00,2021-11-25,06:15:00,3,3,0,0.1235
2021-11-25 06:30:00,2021-11-25,06:30:00,3,3,0,0.126
2021-11-25 06:45:00,2021-11-25,06:45:00,3,3,0,0.126
2021-11-25 07:00:00,2021-11-25,07:00:00,3,3,0,0.126
2021-11-25 07:15:00,2021-11-25,07:15:00,3,3,0,0.1215
2021-11-25 07:30:00,2021-11-25,07:30:00,3,3,1,0.117
2021-11-25 07:45:00,2021-11-25,07:45:00,3,3,1,0.119
2021-11-25 08:00:00,2021-11-25,08:00:00,3,3,1,0.121
2021-11-25 08:15:00,2021-11-25,08:15:00,3,3,1,0.123
2021-11-25 08:30:00,2021-11-25,08:30:00,3,3,1,0.125
2021-11-25 08:45:00,2021-11-25,08:45:00,3,3,1,0.1325
2021-11-25 09:00:00,2021-11-25,09:00:00,3,3,1,0.14
2021-11-25 09:15:00,2021-11-25,09:15:00,3,3,1,0.194
2021-11-25 09:30:00,2021-11-25,09:30:00,3,3,1,0.248
2021-11-25 09:45:00,2021-11-25,09:45:00,3,3,1,0.299
2021-11-25 10:00:00,2021-11-25,10:00:00,3,3,1,0.35
2021-11-25 10:15:00,2021-11-25,10:15:00,3,3,1,0.2595
2021-11-25 10:30:00,2021-11-25,10:30:00,3,3,1,0.169
2021-11-25 10:45:00,2021-11-25,10:45:00,3,3,1,0.169
2021-11-25 11:00:00,2021-11-25,11:00:00,3,3,1,0.169
2021-11-25 11:15:00,2021-11-25,11:15:00,3,3,1,0.163
2021-11-25 11:30:00,2021-11-25,11:30:00,3,3,1,0.157
2021-11-25 11:45:00,2021-11-25,11:45:00,3,3,1,0.154
2021-11-25 12:00:00,2021-11-25,12:00:00,3,3,1,0.151
2021-11-25 12:15:00,2021-11-25,12:15:00,3,3,1,0.164
2021-11-25 12:30:00,2021-11-25,12:30:00,3,3,1,0.177
