Timestamp,Cos Solar Incidence (°),GHI (W/m2),PV Power Generation (W)
2023-09-13 18:00:00,0.14997511592404386,80.54659088159401,48.265947346898024
2023-09-13 18:15:00,0.08518030334747644,43.303342447713256,26.29932694916699
2023-09-13 18:30:00,0.020034618195271043,15.460796218491234,9.514969480026773
2023-09-13 18:45:00,-0.045182848948685635,0.0,0.0
2023-09-13 19:00:00,-0.11019270606456599,0.0,0.0
2023-09-13 19:15:00,-0.17471644796426278,0.0,0.0
2023-09-13 19:30:00,-0.23847764085819798,0.0,0.0
2023-09-13 19:45:00,-0.30120312403785354,0.0,0.0
2023-09-13 20:00:00,-0.3626241713537604,0.0,0.0
2023-09-13 20:15:00,-0.42247763455094633,0.0,0.0
2023-09-13 20:30:00,-0.4805070871836765,0.0,0.0
2023-09-13 20:45:00,-0.5364639147157135,0.0,0.0
2023-09-13 21:00:00,-0.5901083726054098,0.0,0.0
2023-09-13 21:15:00,-0.6412106285242254,0.0,0.0
2023-09-13 21:30:00,-0.6895517391228284,0.0,0.0
2023-09-13 21:45:00,-0.7349245821943389,0.0,0.0
2023-09-13 22:00:00,-0.7771347571058982,0.0,0.0
2023-09-13 22:15:00,-0.8160014107093057,0.0,0.0
2023-09-13 22:30:00,-0.8513580077029423,0.0,0.0
2023-09-13 22:45:00,-0.883053054701733,0.0,0.0
2023-09-13 23:00:00,-0.9109507434480054,0.0,0.0
2023-09-13 23:15:00,-0.9349315298183667,0.0,0.0
2023-09-13 23:30:00,-0.9548926536266337,0.0,0.0
2023-09-13 23:45:00,-0.97074857447343,0.0,0.0
2023-09-14 00:00:00,-0.9824313370868863,0.0,0.0
2023-09-14 00:15:00,-0.9898908668694227,0.0,0.0
2023-09-14 00:30:00,-0.9930951816274747,0.0,0.0
2023-09-14 00:45:00,-0.9920305291781946,0.0,0.0
2023-09-14 01:00:00,-0.9867014472948556,0.0,0.0
2023-09-14 01:15:00,-0.9771307431468237,0.0,0.0
2023-09-14 01:30:00,-0.9633593978930098,0.0,0.0
2023-09-14 01:45:00,-0.9454463887095756,0.0,0.0
2023-09-14 02:00:00,-0.9234684367107476,0.0,0.0
2023-09-14 02:15:00,-0.89751968221949,0.0,0.0
2023-09-14 02:30:00,-0.8677112756695812,0.0,0.0
2023-09-14 02:45:00,-0.8341709037502418,0.0,0.0
2023-09-14 03:00:00,-0.797042247768175,0.0,0.0
2023-09-14 03:15:00,-0.7564843592307902,0.0,0.0
2023-09-14 03:30:00,-0.712670982336304,0.0,0.0
2023-09-14 03:45:00,-0.6657898163205527,0.0,0.0
2023-09-14 04:00:00,-0.6160416996409424,0.0,0.0
2023-09-14 04:15:00,-0.5636397549704404,0.0,0.0
2023-09-14 04:30:00,-0.5088084837814755,0.0,0.0
2023-09-14 04:45:00,-0.4517827905682837,0.0,0.0
2023-09-14 05:00:00,-0.39280698316031615,0.0,0.0
2023-09-14 05:15:00,-0.3321337343664056,0.0,0.0
2023-09-14 05:30:00,-0.2700229838072371,0.0,0.0
2023-09-14 05:45:00,-0.20674083182120276,0.0,0.0
2023-09-14 06:00:00,-0.142558408316198,0.0,0.0
2023-09-14 06:15:00,-0.07775069419559681,0.0,0.0
2023-09-14 06:30:00,-0.012595351653287117,8.937023241733565,6.4167514973535855
2023-09-14 06:45:00,0.052628456577563376,33.31565208941279,23.74066838023745
2023-09-14 07:00:00,0.11764128063462878,66.52874727298232,46.869524740946375
2023-09-14 07:15:00,0.1821645720702605,108.6112686933495,75.34400582783375
2023-09-14 07:30:00,0.24592186864764773,156.4315295856837,106.82810131958686
2023-09-14 07:45:00,0.30863999605902714,207.30799871918384,139.33367847477126
2023-09-14 08:00:00,0.37005022951819844,260.61908721691543,172.35067966156794
2023-09-14 08:15:00,0.42988943707670124,316.4225685059048,205.83782807994965
2023-09-14 08:30:00,0.48790122347676146,371.80147625755467,237.84835519055633
2023-09-14 08:45:00,0.543837020077499,428.7075764001445,269.6235213313754
2023-09-14 09:00:00,0.5974571427780332,483.60142852791824,298.92604354255513
2023-09-14 09:15:00,0.6485318339781801,536.8514000393882,326.04481997669654
2023-09-14 09:30:00,0.6968422389870008,588.1958701091614,352.46471123881065
2023-09-14 09:45:00,0.7421813378307496,641.9960562116797,377.7718130039002
2023-09-14 10:00:00,0.7843548452318452,688.1054881625541,397.47470131085663
2023-09-14 10:15:00,0.8231820360175541,730.8246922758315,414.2601935335823
2023-09-14 10:30:00,0.8584965149225185,770.5040987816153,430.51272763248215
2023-09-14 10:45:00,0.8901469400646452,811.4550621462214,444.6325046484679
2023-09-14 11:00:00,0.9179976654897789,842.6303098146,452.61698763816986
2023-09-14 11:15:00,0.9419293195095064,869.4922618809587,460.00493331765693
2023-09-14 11:30:00,0.9618393236962861,893.7610995352517,468.01942085178274
2023-09-14 11:45:00,0.9776423280043318,950.3089862116213,489.9354897918128
2023-09-14 12:00:00,0.9892705752591433,962.9980126424213,488.67929284311464
2023-09-14 12:15:00,0.9966741958468208,972.2029987071763,490.7262155472732
2023-09-14 12:30:00,0.9998214185702048,975.8496344361124,489.93283276933175
2023-09-14 12:45:00,0.99869870733886,963.9355426031875,481.34938255262523
2023-09-14 13:00:00,0.9933108201728253,959.5282509013712,476.55857185120425
2023-09-14 13:15:00,0.983680787697624,947.6998419735636,470.68388326271014
2023-09-14 13:30:00,0.9698498167769476,932.5482014061045,463.1586809737227
2023-09-14 13:45:00,0.9518771115418625,900.560392779569,447.2716402520022
2023-09-14 14:00:00,0.9298396203694197,874.9063473048226,434.5303215235892
2023-09-14 14:15:00,0.9038317101323043,844.7197631208159,419.5378755645644
2023-09-14 14:30:00,0.8739647561467574,808.4735671100681,403.7181275498937
2023-09-14 14:45:00,0.8403666673371724,786.4860005229945,394.8613603696334
2023-09-14 15:00:00,0.8031813436390189,744.0400905711275,373.5510640203329
2023-09-14 15:15:00,0.762568050622903,699.213742119046,354.8203345792361
2023-09-14 15:30:00,0.7187007410915688,650.2450447023031,331.7260306317969
2023-09-14 15:45:00,0.6717673164967154,588.8170771672567,303.566931687924
2023-09-14 16:00:00,0.6219688102910361,534.8774459817928,277.2019051976955
2023-09-14 16:15:00,0.5695185319967873,479.36619368997276,251.02086951800217
2023-09-14 16:30:00,0.5146411610743167,422.2700554835157,224.54180430297035
2023-09-14 16:45:00,0.45757177034540364,358.4281818237547,192.52889677964342
2023-09-14 17:00:00,0.39855482552891924,300.0962000325837,162.81606346548517
2023-09-14 17:15:00,0.337843146290233,243.62392548996112,135.4652346630984
2023-09-14 17:30:00,0.2756968073577474,188.55921233708204,107.39174698317626
2023-09-14 17:45:00,0.21238203194048008,133.6174408155725,77.54294766486169
2023-09-14 18:00:00,0.14817005995046276,87.44865151048884,51.92978138918116
2023-09-14 18:15:00,0.083335969007183,48.500268838732666,29.324651587597305
2023-09-14 18:30:00,0.01815750429977285,18.45393760749432,11.357025255376003
2023-09-14 18:45:00,-0.04708610249037643,0.0,0.0
2023-09-14 19:00:00,-0.11211534695344572,0.0,0.0
2023-09-14 19:15:00,-0.1766516407037469,0.0,0.0
2023-09-14 19:30:00,-0.24041849625382916,0.0,0.0
2023-09-14 19:45:00,-0.3031427290509889,0.0,0.0
2023-09-14 20:00:00,-0.3645556189110061,0.0,0.0
2023-09-14 20:15:00,-0.4243940534133311,0.0,0.0
2023-09-14 20:30:00,-0.48240167164780134,0.0,0.0
2023-09-14 20:45:00,-0.5383299539902515,0.0,0.0
2023-09-14 21:00:00,-0.5919392798376303,0.0,0.0
2023-09-14 21:15:00,-0.642999969202475,0.0,0.0
2023-09-14 21:30:00,-0.6912932589163014,0.0,0.0
2023-09-14 21:45:00,-0.7366122339490124,0.0,0.0
2023-09-14 22:00:00,-0.7787627269684037,0.0,0.0
2023-09-14 22:15:00,-0.8175641432115494,0.0,0.0
2023-09-14 22:30:00,-0.8528502297792644,0.0,0.0
2023-09-14 22:45:00,-0.8844697984166774,0.0,0.0
2023-09-14 23:00:00,-0.9122873674606704,0.0,0.0
2023-09-14 23:15:00,-0.9361837394228183,0.0,0.0
2023-09-14 23:30:00,-0.9560565192672899,0.0,0.0
2023-09-14 23:45:00,-0.9718205487016847,0.0,0.0
2023-09-15 00:00:00,-0.9834082698705239,0.0,0.0
2023-09-15 00:15:00,-0.9907700191617637,0.0,0.0
2023-09-15 00:30:00,-0.9938742371711236,0.0,0.0
2023-09-15 00:45:00,-0.9927076044957357,0.0,0.0
2023-09-15 01:00:00,-0.9872750997805665,0.0,0.0
2023-09-15 01:15:00,-0.9775999772672628,0.0,0.0
2023-09-15 01:30:00,-0.9637236694683258,0.0,0.0
2023-09-15 01:45:00,-0.9457056072093355,0.0,0.0
2023-09-15 02:00:00,-0.9236229656257942,0.0,0.0
2023-09-15 02:15:00,-0.897570337450862,0.0,0.0
2023-09-15 02:30:00,-0.8676593219605875,0.0,0.0
2023-09-15 02:45:00,-0.8340180491983371,0.0,0.0
2023-09-15 03:00:00,-0.7967906364101764,0.0,0.0
2023-09-15 03:15:00,-0.7561365617239142,0.0,0.0
2023-09-15 03:30:00,-0.7122299848339633,0.0,0.0
2023-09-15 03:45:00,-0.6652590075348905,0.0,0.0
2023-09-15 04:00:00,-0.6154248561650963,0.0,0.0
2023-09-15 04:15:00,-0.5629410249063216,0.0,0.0
2023-09-15 04:30:00,-0.5080323688365672,0.0,0.0
2023-09-15 04:45:00,-0.4509341265417267,0.0,0.0
2023-09-15 05:00:00,-0.3918909190002846,0.0,0.0
2023-09-15 05:15:00,-0.3311557099357928,0.0,0.0
2023-09-15 05:30:00,-0.2689887063176576,0.0,0.0
2023-09-15 05:45:00,-0.2056562511773904,0.0,0.0
2023-09-15 06:00:00,-0.14142969136412453,0.0,0.0
2023-09-15 06:15:00,-0.07658419808493087,0.0,0.0
2023-09-15 06:30:00,-0.011397596316283481,2.0,1.4036022
2023-09-15 06:45:00,0.05385081658115648,4.0,2.785610519999999
2023-09-15 07:00:00,0.11888148492556136,6.0,4.14602496
2023-09-15 07:15:00,0.18341578364204442,9.0,6.146158094999999
2023-09-15 07:30:00,0.24717720341676724,12.0,8.065314179999998
2023-09-15 07:45:00,0.30989255264019694,16.0,10.5810012
2023-09-15 08:00:00,0.37129311901998585,20.0,13.0103127
2023-09-15 08:15:00,0.43111581288596446,24.0,15.28846704
2023-09-15 08:30:00,0.48910431084118433,29.0,18.160453079999996
2023-09-15 08:45:00,0.545010145381307,34.0,20.924469719999998
2023-09-15 09:00:00,0.5985937623707589,38.0,22.873317389999993
2023-09-15 09:15:00,0.6496255624382241,43.0,25.5347631
2023-09-15 09:30:00,0.6978868766967561,47.0,27.656361809999993
2023-09-15 09:45:00,0.7431708977755928,51.0,29.597111774999995
2023-09-15 10:00:00,0.7852835788284486,55.0,31.473080099999997
2023-09-15 10:15:00,0.8240444579388506,58.0,32.8766823
2023-09-15 10:30:00,0.8592874268195132,61.0,34.24789367999999
2023-09-15 10:45:00,0.8908614529646719,64.0,35.58671424
2023-09-15 11:00:00,0.9186312209177256,66.0,36.342500040000004
2023-09-15 11:15:00,0.9424777091559604,68.0,37.26023993999999
2023-09-15 11:30:00,0.962298707582086,69.0,37.62193743
2023-09-15 11:45:00,0.9780092510302283,70.0,37.97823645
2023-09-15 12:00:00,0.98954198212836,71.0,38.329136999999996
2023-09-15 12:15:00,0.9968474442234956,72.0,38.868984
2023-09-15 12:30:00,0.9998942904582122,72.0,38.868984
2023-09-15 12:45:00,0.9986694186518286,72.0,38.67463907999999
2023-09-15 13:00:00,0.9931780283945726,71.0,38.13749131499999
2023-09-15 13:15:00,0.9834435976449118,71.0,38.329136999999996
2023-09-15 13:30:00,0.9695077844530278,70.0,37.789289999999994
2023-09-15 13:45:00,0.951430246003534,68.0,36.893143980000005
2023-09-15 14:00:00,0.9292883836435291,66.0,35.98620102
2023-09-15 14:15:00,0.9031770152069657,64.0,35.068461119999995
2023-09-15 14:30:00,0.873207962968561,62.0,33.97257170999999
2023-09-15 14:45:00,0.8395095769008338,781.9409029443445,430.5710196444315
2023-09-15 15:00:00,0.8022261901780374,739.6919045353085,409.30346697736445
2023-09-15 15:15:00,0.7615174919281004,693.3305314864348,387.3926416914548
2023-09-15 15:30:00,0.717557846962279,643.6645547415768,361.379594038919
2023-09-15 15:45:00,0.6705355554710443,595.1034577172677,337.32805715520846
2023-09-15 16:00:00,0.6206520345962376,541.7325120097889,308.53756833855067
2023-09-15 16:15:00,0.5681209608930732,484.9366809156798,278.80806718713563
2023-09-15 16:30:00,0.5131673625922515,427.3744426086719,249.1741555764808
2023-09-15 16:45:00,0.4560266414930271,370.72022466925347,218.14409922845445
2023-09-15 17:00:00,0.3969435711217793,310.6700612549271,185.3243021169089
2023-09-15 17:15:00,0.3361712564571256,252.80053958833392,153.53281450703622
2023-09-15 17:30:00,0.27397003373596523,196.20430541733612,121.27874998829438
2023-09-15 17:45:00,0.21060636284006695,141.92587514478606,89.2602704759697
2023-09-15 18:00:00,0.14635169444219426,91.90550833265829,58.79367185387978
2023-09-15 18:15:00,0.081481290116216,49.64440770231347,32.294463400669336
2023-09-15 18:30:00,0.01627305141470823,19.20420580468841,12.69998279152844
2023-09-15 18:45:00,-0.048993661908254556,0.0,0.0
2023-09-15 19:00:00,-0.1140392461694262,0.0,0.0
2023-09-15 19:15:00,-0.1785850429524738,0.0,0.0
2023-09-15 19:30:00,-0.24235452436084032,0.0,0.0
2023-09-15 19:45:00,-0.3050744950717654,0.0,0.0
2023-09-15 20:00:00,-0.36647625395374595,0.0,0.0
2023-09-15 20:15:00,-0.4262967372886559,0.0,0.0
2023-09-15 20:30:00,-0.4842796623578115,0.0,0.0
2023-09-15 20:45:00,-0.5401766168499789,0.0,0.0
2023-09-15 21:00:00,-0.5937481161253613,0.0,0.0
2023-09-15 21:15:00,-0.6447646442713921,0.0,0.0
2023-09-15 21:30:00,-0.6930076295248528,0.0,0.0
2023-09-15 21:45:00,-0.7382703748018373,0.0,0.0
2023-09-15 22:00:00,-0.7803589563044113,0.0,0.0
2023-09-15 22:15:00,-0.8190930473495766,0.0,0.0
2023-09-15 22:30:00,-0.8543066864665407,0.0,0.0
2023-09-15 22:45:00,-0.8858489989634164,0.0,0.0
2023-09-15 23:00:00,-0.9135848374943234,0.0,0.0
2023-09-15 23:15:00,-0.9373953581859127,0.0,0.0
2023-09-15 23:30:00,-0.9571785374026529,0.0,0.0
2023-09-15 23:45:00,-0.9728496044242385,0.0,0.0
2023-09-16 00:00:00,-0.9843414034693525,0.0,0.0
2023-09-16 00:15:00,-0.9916046857465909,0.0,0.0
2023-09-16 00:30:00,-0.9946083176399557,0.0,0.0
2023-09-16 00:45:00,-0.9933394146681143,0.0,0.0
2023-09-16 01:00:00,-0.987803397627413,0.0,0.0
2023-09-16 01:15:00,-0.9780239682420049,0.0,0.0
2023-09-16 01:30:00,-0.964043009914217,0.0,0.0
2023-09-16 01:45:00,-0.9459204057985675,0.0,0.0
2023-09-16 02:00:00,-0.9237337828506755,0.0,0.0
